id,Title,Director,Cast,Genre,year,imbd link
1,Aag Aur Daag,A. Salaam,"Joy Mukherjee, Madan Puri",Action,1970,http://www.imdb.com/find?q=Aag+Aur+Daag+1970+
2,Aan Milo Sajna,Mukul Dutt,"Asha Parekh, Rajesh Khanna, Vinod Khanna",Drama,1970,http://www.imdb.com/find?q=Aan+Milo+Sajna+1970+
3,Aansoo Aur Muskan,P. Madhavan,"Bindu, Padmini",Drama,1970,http://www.imdb.com/find?q=Aansoo+Aur+Muskan+1970+
4,Abhinetri,Subodh Mukherjee,"Shashi Kapoor, Hema Malini, Deb Mukherjee",Drama,1970,http://www.imdb.com/find?q=Abhinetri+1970+
5,Bachpan,Kotayya Pratyagatma,"Sanjeev Kumar, Tanuja",Drama,1970,http://www.imdb.com/find?q=Bachpan+1970+
6,Bhagwan Parshuram,Babubhai Mistri,Helen,Drama,1970,http://www.imdb.com/find?q=Bhagwan+Parshuram+1970+
7,Bhai-Bhai,Raja Nawathe,"Sunil Dutt, Asha Parekh, Mumtaz, Pran",Drama,1970,http://www.imdb.com/find?q=Bhai-Bhai+1970+
8,Bombay Talkie,James Ivory,"Shashi Kapoor, Jennifer Kendal",,1970,http://www.imdb.com/find?q=Bombay+Talkie+1970+
9,Chetna,B.R. Ishara,"Shatrughan Sinha, Anil Dhawan",Action,1970,http://www.imdb.com/find?q=Chetna+1970+
10,Choron Ka Chor,Mohammed Hussain,Madan Puri,Drama,1970,http://www.imdb.com/find?q=Choron+Ka+Chor+1970+
11,Darpan,Adurthi Subba Rao,"Sunil Dutt, Waheeda Rehman",Drama,1970,http://www.imdb.com/find?q=Darpan+1970+
12,Dastak,Rajinder Singh Bedi,Sanjeev Kumar,Drama,1970,http://www.imdb.com/find?q=Dastak+1970+
13,Deedar,Jugal Kishore,"Dheeraj Kumar, Anjana Choudhury",Drama,1970,http://www.imdb.com/find?q=Deedar+1970+
14,Devi,Madhusudan Rao V.,"Nutan, Sanjeev Kumar, Madan Puri",Drama,1970,http://www.imdb.com/find?q=Devi+1970+
15,Dharti,Sridhar,"Rajendra Kumar, Waheeda Rehman",Action,1970,http://www.imdb.com/find?q=Dharti+1970+
16,Ehsan,Shiv Kumar,"Helen, Aruna Irani",Drama,1970,http://www.imdb.com/find?q=Ehsan+1970+
17,Ek Nanhi Munni Ladki Thi,Vishram Bedekar,"Prithviraj Kapoor, Mumtaz, Helen",Drama,1970,http://www.imdb.com/find?q=Ek+Nanhi+Munni+Ladki+Thi+1970+
18,Ganwaar,Naresh Kumar,"Vyjayanthimala, Rajendra Kumar, Pran",Romance,1970,http://www.imdb.com/find?q=Ganwaar+1970+
19,Geet,Ramanand Sagar,"Rajendra Kumar, Mala Sinha, Sujeet Kumar",Drama,1970,http://www.imdb.com/find?q=Geet+1970+
20,Ghar Ghar Ki Kahani,T. Prakash Rao,"Rakesh Roshan, Nirupa Roy",Drama,1970,http://www.imdb.com/find?q=Ghar+Ghar+Ki+Kahani+1970+
21,Gopi,A. Bhimsingh,"Dilip Kumar, Saira Banu, Om Prakash, Pran",,1970,http://www.imdb.com/find?q=Gopi+1970+
22,Gunah Aur Kanoon,B.R. Ishara,"Sanjeev Kumar, Prithviraj Kapoor",Drama,1970,http://www.imdb.com/find?q=Gunah+Aur+Kanoon+1970+
23,Heer Raanjha,Chetan Anand,"Prithviraj Kapoor, Raaj Kumar, Pran",Romance,1970,http://www.imdb.com/find?q=Heer+Raanjha+1970+
24,Himmat,Ravikant Nagaich,"Jeetendra, Mumtaz, Prem Chopra",Romance,1970,http://www.imdb.com/find?q=Himmat+1970+
25,Holi Ayee Re,Harsukh Jagneshwar Bhatt,"Shatrughan Sinha, Mala Sinha",Romance,1970,http://www.imdb.com/find?q=Holi+Ayee+Re+1970+
26,Humjoli,Ramanna,"Jeetendra, Leena Chandavarkar, Pran",Comedy,1970,http://www.imdb.com/find?q=Humjoli+1970+
27,Insaan Aur Shaitan,Aspi Irani,"Sanjeev Kumar, Aruna Irani",Action,1970,http://www.imdb.com/find?q=Insaan+Aur+Shaitan+1970+
28,Inspector,Chand,"Helen, Joy Mukherjee",Action,1970,http://www.imdb.com/find?q=Inspector+1970+
29,Ishq Par Zor Nahin,Ramesh Saigal,"Dharmendra, Sadhana Shivdasani",Romance,1970,http://www.imdb.com/find?q=Ishq+Par+Zor+Nahin+1970+
30,Jawab,Ramaana,"Mehmood, Aruna Irani, Prem Chopra",Romance,1970,http://www.imdb.com/find?q=Jawab+1970+
31,Jeevan Mrityu,Satyen Bose,"Dharmendra, Raakhee",Romance,1970,http://www.imdb.com/find?q=Jeevan+Mrityu+1970+
32,Johny Mera Naam,Vijay Anand,"Dev Anand, Hema Malini, Pran, Prem Nath",Romance,1970,http://www.imdb.com/find?q=Johny+Mera+Naam+1970+
33,Kab? Kyoon? Aur Kahan?,Anil Hingorani,"Dharmendra, Babita, Pran",Mystery,1970,http://www.imdb.com/find?q=Kab?+Kyoon?+Aur+Kahan?+1970+
34,Kati Patang,Shakti Samanta,"Rajesh Khanna, Asha Parekh",Romance,1970,http://www.imdb.com/find?q=Kati+Patang+1970+
35,Khilona,Chander Vohra,"Jeetendra, Mumtaz, Sanjeev Kumar",Romance,1970,http://www.imdb.com/find?q=Khilona+1970+
36,Maa Aur Mamta,Asit Sen,"Nutan, Ashok Kumar",Drama,1970,http://www.imdb.com/find?q=Maa+Aur+Mamta+1970+
37,Maa Ka Aanchal,Jagdev Bhambri,"Sanjeev Kumar, Leela Mishra",Drama,1970,http://www.imdb.com/find?q=Maa+Ka+Aanchal+1970+
38,Maharaja,Naresh Saigal,"Sanjay Khan, Nutan, Nirupa Roy",Drama,1970,http://www.imdb.com/find?q=Maharaja+1970+
39,Man Ki Aankhen,Raghunath Jhalani,"Dharmendra, Waheeda Rehman",Drama,1970,http://www.imdb.com/find?q=Man+Ki+Aankhen+1970+
40,Mastana,Adurthi Subba Rao,"Mehmood, Vinod Khanna",Comedy,1970,http://www.imdb.com/find?q=Mastana+1970+
41,Mera Naam Joker,Raj Kapoor,"Raj Kapoor, Rajendra Kumar, Manoj Kumar, Dharmendra, Simi Garewal",Drama/Musical,1970,http://www.imdb.com/find?q=Mera+Naam+Joker+1970+
42,Mere Humsafar,Dulal Guha,"Jeetendra, Sharmila Tagore",Romance,1970,http://www.imdb.com/find?q=Mere+Humsafar+1970+
